City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
60,Cidreira,BR,2020-08-18 17:04:55,-30.18,-50.21,66.0,85,30,13.89
61,Effingham,US,2020-08-18 17:04:56,32.37,-81.33,93.0,55,75,3.36
62,Pevek,RU,2020-08-18 17:04:57,69.7,170.31,39.6,85,100,13.18
63,Hwange,ZW,2020-08-18 17:04:57,-18.37,26.5,73.8,29,0,3.51
64,Udachnyy,RU,2020-08-18 17:04:57,66.42,112.4,53.6,46,100,4.47
65,San Patricio,MX,2020-08-18 17:04:57,19.22,-104.7,77.0,100,90,5.82
66,Salym,RU,2020-08-18 17:04:58,60.06,71.48,55.29,95,100,4.61
67,Berlevag,NO,2020-08-18 17:03:05,70.86,29.09,53.6,66,75,18.34
68,Khatanga,RU,2020-08-18 17:04:58,71.97,102.5,52.47,72,55,13.71
69,Atuona,PF,2020-08-18 17:04:59,-9.8,-139.03,78.82,76,6,22.37
70,Katoro,TZ,2020-08-18 17:04:59,-3.02,31.9,69.71,63,45,5.14
71,Salalah,OM,2020-08-18 17:04:59,17.02,54.09,77.0,100,90,2.24
72,Mehamn,NO,2020-08-18 17:04:59,71.04,27.85,51.8,81,75,14.99
73,Soyo,AO,2020-08-18 17:05:00,-6.13,12.37,72.59,81,28,10.67
74,Dakoro,NE,2020-08-18 17:05:00,14.51,6.76,94.84,36,54,8.9
75,Tasiilaq,GL,2020-08-18 17:05:01,65.61,-37.64,50.0,61,75,5.82
76,Barahona,DO,2020-08-18 17:05:01,18.21,-71.1,91.4,66,20,11.41
77,Kawalu,ID,2020-08-18 17:05:01,-7.38,108.21,71.76,91,93,1.88
78,Laranjeiras Do Sul,BR,2020-08-18 17:05:01,-25.41,-52.42,62.96,100,100,7.72
79,Inuvik,CA,2020-08-18 17:05:02,68.35,-133.72,53.6,71,20,8.05
80,Kavieng,PG,2020-08-18 17:05:03,-2.57,150.8,81.19,79,0,4.5
81,Chicama,PE,2020-08-18 17:05:03,-7.84,-79.15,71.04,52,27,11.18
82,Lethem,GY,2020-08-18 17:05:04,3.38,-59.8,88.86,61,98,6.26
83,Iqaluit,CA,2020-08-18 17:02:39,63.75,-68.51,46.4,81,75,17.22
84,Norman Wells,CA,2020-08-18 17:05:04,65.28,-126.83,53.6,81,75,4.7
85,Coria,ES,2020-08-18 17:05:04,39.99,-6.54,89.01,32,76,8.99
86,Madimba,TZ,2020-08-18 17:05:04,-10.4,40.33,77.0,73,75,7.87
87,Port Alfred,ZA,2020-08-18 17:05:05,-33.59,26.89,53.26,67,100,36.42
88,Port Macquarie,AU,2020-08-18 17:02:51,-31.43,152.92,45.0,97,0,4.97
89,Faya,SA,2020-08-18 17:05:05,18.39,42.45,77.0,60,40,9.17
90,Sitka,US,2020-08-18 17:05:06,57.05,-135.33,53.6,93,20,1.36
91,Belmonte,BR,2020-08-18 17:05:06,-15.86,-38.88,73.4,78,90,9.17
92,Ust-Ishim,RU,2020-08-18 17:05:06,57.69,71.17,53.4,96,87,3.78
93,Bubaque,GW,2020-08-18 17:05:06,11.28,-15.83,81.16,85,82,18.48
94,Puerto Ayora,EC,2020-08-18 17:05:07,-0.74,-90.35,75.2,69,40,18.34
95,Hermanus,ZA,2020-08-18 17:05:07,-34.42,19.23,50.0,80,94,1.99
96,Laguna,US,2020-08-18 17:05:08,38.42,-121.42,90.0,51,1,3.36
97,Namibe,AO,2020-08-18 17:05:08,-15.2,12.15,64.67,71,9,12.55
98,Cape Town,ZA,2020-08-18 17:02:50,-33.93,18.42,55.99,58,20,13.87
99,Karratha,AU,2020-08-18 17:05:08,-20.74,116.85,67.01,33,0,9.04
100,Qandala,SO,2020-08-18 17:05:08,11.47,49.87,91.42,48,46,5.32
101,Chernyshevskiy,RU,2020-08-18 17:05:09,63.01,112.47,52.23,57,52,3.87
102,Arraial Do Cabo,BR,2020-08-18 17:05:09,-22.97,-42.03,84.2,78,40,14.99
103,Ayia Galini,GR,2020-08-18 17:05:09,35.1,24.68,81.0,65,0,11.41
104,Coquimbo,CL,2020-08-18 17:05:09,-29.95,-71.34,55.4,62,75,6.93
105,Pangnirtung,CA,2020-08-18 17:05:10,66.15,-65.71,48.2,87,75,3.36
106,Raahe,FI,2020-08-18 17:05:10,64.68,24.48,60.8,48,40,4.7
107,Kruisfontein,ZA,2020-08-18 17:05:10,-34.0,24.73,48.0,83,59,10.0
108,Anadyr,RU,2020-08-18 17:05:10,64.75,177.48,41.0,100,40,2.24
109,Ponta Delgada,PT,2020-08-18 17:05:10,37.73,-25.67,75.2,88,75,19.46
110,Vila Franca Do Campo,PT,2020-08-18 17:05:11,37.72,-25.43,75.2,88,75,19.46
111,Vega De Alatorre,MX,2020-08-18 17:05:11,20.03,-96.63,86.63,60,31,7.65
112,Wattegama,LK,2020-08-18 17:05:12,6.8,81.48,79.21,71,39,3.67
113,Phonhong,LA,2020-08-18 17:05:12,18.5,102.42,73.09,95,100,2.13
114,Tiksi,RU,2020-08-18 17:05:13,71.69,128.87,39.25,91,100,12.37
115,South Jordan,US,2020-08-18 17:00:42,40.56,-111.93,89.01,27,1,0.89
116,Ostrovnoy,RU,2020-08-18 17:05:13,68.05,39.51,47.25,75,32,2.86
117,Umm Lajj,SA,2020-08-18 17:00:59,25.02,37.27,87.6,64,0,5.64
118,Okha,RU,2020-08-18 17:05:14,53.57,142.95,53.85,97,100,14.74
119,Hofn,IS,2020-08-18 17:03:05,64.25,-15.21,51.69,88,20,11.14
120,Sorbhog,IN,2020-08-18 17:05:14,26.5,90.87,81.5,85,1,5.48
121,Georgetown,MY,2020-08-18 17:03:15,5.41,100.34,82.4,88,20,2.57
122,Atakpame,TG,2020-08-18 17:05:14,7.53,1.13,82.31,71,55,5.21
123,Bayir,TR,2020-08-18 17:05:15,37.27,28.22,84.2,51,0,2.24
124,Nanortalik,GL,2020-08-18 17:05:15,60.14,-45.24,51.93,66,5,3.31
125,Bredasdorp,ZA,2020-08-18 17:05:15,-34.53,20.04,53.6,62,97,6.93
126,Bulgan,MN,2020-08-18 17:05:15,48.81,103.53,49.57,79,37,1.68
127,Bereda,ES,2020-08-18 17:05:15,43.27,-7.54,78.01,69,97,11.01
128,Poum,NC,2020-08-18 17:05:16,-20.23,164.02,69.21,67,43,13.85
129,Along,IN,2020-08-18 17:05:16,28.17,94.77,73.54,88,19,1.43
130,Kapaa,US,2020-08-18 17:01:22,22.08,-159.32,78.8,74,1,10.29
131,Glendive,US,2020-08-18 17:00:57,47.11,-104.71,80.6,36,1,4.7
132,Sovetskaya Gavan,RU,2020-08-18 17:05:16,48.97,140.29,60.3,93,100,5.99
133,Alvaraes,BR,2020-08-18 17:05:17,-3.22,-64.8,87.8,70,40,3.36
134,Kyzyl-Suu,KG,2020-08-18 17:05:17,42.34,78.0,57.38,72,98,2.75
135,Chapais,CA,2020-08-18 17:05:17,49.78,-74.85,55.4,87,90,10.29
136,Ponta Do Sol,PT,2020-08-18 17:05:18,32.67,-17.1,75.99,67,2,3.94
137,Yellowknife,CA,2020-08-18 17:00:55,62.46,-114.35,57.2,93,90,8.05
138,Souillac,MU,2020-08-18 17:01:04,-20.52,57.52,71.6,78,75,18.34
139,Tinos,GR,2020-08-18 17:05:18,37.54,25.16,80.6,51,0,14.99
140,Tautira,PF,2020-08-18 17:05:19,-17.73,-149.15,73.4,83,20,3.36
141,Fortuna,US,2020-08-18 17:05:19,40.6,-124.16,63.0,85,100,1.01
142,Maridi,SS,2020-08-18 17:05:19,4.92,29.47,70.57,94,100,3.62
143,Lavrentiya,RU,2020-08-18 17:05:20,65.58,-171.0,46.49,83,98,7.34
144,Bengkulu,ID,2020-08-18 17:05:20,-3.8,102.27,76.8,85,37,4.27
145,Hovd,MN,2020-08-18 17:05:20,48.01,91.64,64.85,55,7,2.68
146,Rio Grande,BR,2020-08-18 17:05:10,-32.03,-52.1,66.2,72,40,5.82
147,Dobson,US,2020-08-18 17:05:21,36.4,-80.72,84.0,61,1,2.37
148,Strathmore,CA,2020-08-18 17:05:21,51.05,-113.39,84.0,36,20,5.82
149,Nichinan,JP,2020-08-18 17:05:21,31.6,131.37,82.0,78,10,1.01
150,Homer,US,2020-08-18 17:05:22,59.64,-151.55,57.0,87,40,4.7
151,Tommot,RU,2020-08-18 17:05:22,58.96,126.29,44.24,85,95,3.51
152,Kabelvag,NO,2020-08-18 17:05:22,68.21,14.48,53.6,76,40,9.17
153,Clavier,BE,2020-08-18 17:05:22,50.4,5.35,73.0,64,20,6.93
154,Tavricheskoye,RU,2020-08-18 17:05:23,54.59,73.64,55.4,82,40,8.95
155,Shingu,JP,2020-08-18 17:05:23,33.73,135.98,77.67,81,99,4.5
156,Landerneau,FR,2020-08-18 17:05:23,48.45,-4.25,73.4,64,40,13.87
157,Erzin,TR,2020-08-18 17:05:23,36.96,36.2,82.99,79,6,5.99
158,Pecanha,BR,2020-08-18 17:05:23,-18.55,-42.56,73.51,62,93,7.49
159,Mattru,SL,2020-08-18 17:05:24,7.62,-11.83,77.83,90,57,6.38
160,Thompson,CA,2020-08-18 17:04:00,55.74,-97.86,64.4,68,75,3.36
